PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,SART,Single,Gest,Donor,Share,IVF_Rate,GIFT_Rate,ZIFT,Combos,ICSI,Unstim,Tubal,Endo,Uterin,Ovulat,Male,Other,Unkno,FrCy30,FrCy35,FrCy40,FrCy45,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr45PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,Fr45LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvCr45,FrLvRt30,FrLvRt35,FrLvRt40,FrLvRt45,FrLvTx30,FrLvTx35,FrLvTx40,FrLvTx45,FrCnCy30,FrCnCy35,FrCnCy40,FrCnCy45,FrEmTr30,FrEmTr35,FrEmTr40,FrEmTr45,FrTwGst30,FrTwGst35,FrTwGst40,FrTwGst45,FrTpGst30,FrTpGst35,FrTpGst40,FrTpGst45,FrMbLv30,FrMbLv35,FrMbLv40,FrMbLv45,CrTr30,CrTr35,CrTr40,CrTr45,CrLvTr30,CrLvTr35,CrLvTr40,CrLvTr45,CrEmTr30,CrEmTr35,CrEmTr40,CrEmTr45,FdTr30,FdTr35,FdTr40,FdTr45,FdLvTr30,FdLvTr35,FdLvTr40,FdLvTr45,CdTr30,CdTr35,CdTr40,CdTr45,CdLvTr30,CdLvTr35,CdLvTr40,CdLvTr45,FdCdEmTr30,FdCdEmTr35,FdCdEmTr40,FdCdEmTr45
CENTER FOR HUMAN REPRODUCTION,GLENVIEW,GLENVIEW,ILLINOIS,Yes,Yes,Yes,Yes,Yes,99%,<1%,<1%,0%,47%,0%,18%,17%,1%,14%,30%,19%,1%,598,233,186,57,26.9,18.5,8.1,5.3,21.7,12.9,6.5,3.5,(18.4 - 25.0),(8.6 - 17.2),(2.9 - 10.0),(0.0 - 8.3),24.6,16.0,9.0,5.4,30.7,18.1,10.4,6.5,11.7,19.3,28.5,35.1,3.8,3.8,4.0,4.0,32.9,23.3,2/15,0/3,13.7,11.6,0/15,0/3,40.8,26.7,2/12,0/2,158,62,30,9,28.5,22.6,13.3,1/9,3.7,3.8,4.0,4.2,15,7,15,24,6/15,5/7,7/15,41.7,9,3,4,13,1/9,0/3,1/4,4/13,3.9,3.9,4.1,4.3
ADVANCED FERTILITY CENTER OF CHICAGO,GURNEE,GURNEE,ILLINOIS,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,0%,21%,0%,50%,15%,0%,19%,4%,12%,0%,11,2,8,3,5/11,1/2,2/8,1/3,5/11,0/2,2/8,0/3,,,,,5/10,0/2,2/8,0/3,5/10,0/2,2/6,0/3,1/11,0/2,0/8,0/3,3.4,3.0,3.7,4.3,3/5,0/1,1/2,0/1,0/5,0/1,0/2,0/1,3/5,,1/2,,0,0,0,0,,,,,,,,,1,0,0,1,0/1,,,1/1,0,0,0,0,,,,,3.0,,,3.0
HIGHLAND PARK HOSPITAL IVF CENTER,HIGHLAND PARK,HIGHLAND PARK,ILLINOIS,Yes,Yes,No,Yes,No,99%,0%,1%,0%,73%,0%,20%,12%,<1%,25%,17%,24%,2%,149,81,58,50,34.9,34.6,29.3,10.0,29.5,29.6,24.1,6.0,(22.2 - 36.9),(19.7 - 39.6),(13.1 - 35.2),(0.0 - 12.6),37.0,35.3,29.8,12.0,37.3,35.3,30.4,13.6,20.1,16.0,19.0,50.0,4.4,4.7,5.6,5.2,21.2,39.3,6/17,3/5,36.5,14.3,1/17,0/5,56.8,45.8,7/14,1/3,11,8,5,1,1/11,0/8,0/5,0/1,4.6,4.6,4.2,4.0,0,1,2,11,,0/1,0/2,8/11,0,0,0,3,,,,1/3,,4.0,3.0,5.1
HINSDALE CENTER FOR REPRODUCTION,HINSDALE,HINSDALE,ILLINOIS,Yes,No,Yes,Yes,No,99%,0%,0%,1%,7%,0%,32%,31%,3%,7%,18%,9%,0%,50,26,14,4,28.0,15.4,1/14,0/4,26.0,15.4,1/14,0/4,(13.8 - 38.2),(1.5 - 29.3),,,28.9,4/16,1/10,0/3,33.3,4/16,1/9,0/3,10.0,38.5,4/14,1/4,4.2,3.8,4.3,3.3,4/14,2/4,0/1,,3/14,0/4,0/1,,7/13,1/4,0/1,,12,4,0,0,0/12,0/4,,,4.6,3.8,,,0,0,0,1,,,,0/1,0,0,0,0,,,,,,,,4.0
OAK BROOK FERTILITY CENTER,OAK BROOK,OAK BROOK,ILLINOIS,Yes,Yes,Yes,Yes,Yes,98%,0%,2%,0%,51%,0%,33%,19%,1%,10%,36%,0%,1%,20,12,14,13,40.0,5/12,4/14,1/13,40.0,5/12,2/14,0/13,(18.5 - 61.5),,,,8/19,5/11,2/11,0/10,8/18,5/11,2/10,0/7,5.0,1/12,3/14,3/13,3.1,4.0,2.8,2.1,1/8,4/5,1/4,0/1,1/8,0/5,0/4,0/1,2/8,4/5,0/2,,2,1,0,0,0/2,0/1,,,2.0,3.0,,,1,0,0,11,0/1,,,3/11,0,0,0,3,,,,1/3,3.0,,,3.8
"REENA JABAMONI, M.D.",OAK BROOK,OAK BROOK,ILLINOIS,Yes,Yes,No,Yes,No,100%,0%,0%,0%,27%,0%,29%,10%,2%,29%,15%,5%,10%,20,11,2,4,20.0,3/11,1/2,0/4,20.0,3/11,1/2,0/4,(2.5 - 37.5),,,,20.0,3/10,1/2,0/4,4/19,3/10,1/2,0/2,0.0,1/11,0/2,0/4,3.4,2.9,6.0,3.5,1/4,1/3,0/1,,1/4,0/3,0/1,,2/4,1/3,0/1,,0,1,1,0,,0/1,1/1,,,3.0,1.0,,0,1,0,0,,1/1,,,0,0,0,0,,,,,,4.0,,
"ADVANCED REPRODUCTIVE CENTER, LTD.",ROCKFORD,ROCKFORD,ILLINOIS,Yes,No,Yes,No,No,94%,5%,1%,0%,63%,0%,35%,27%,4%,22%,6%,6%,0%,35,6,20,2,34.3,3/6,10.0,1/2,28.6,3/6,10.0,0/2,(13.6 - 43.5),,(0.0 - 23.1),,31.3,3/6,2/19,0/1,34.5,3/6,2/18,0/1,8.6,0/6,5.0,1/2,3.7,4.2,3.4,2.0,3/12,0/3,1/2,0/1,0/12,1/3,0/2,0/1,3/10,1/3,0/2,,2,2,1,0,1/2,0/2,0/1,,3.5,5.0,3.0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
REPRODUCTIVE HEALTH AND FERTILITY CENTER,ROCKFORD,ROCKFORD,ILLINOIS,Yes,Yes,No,No,No,99%,0%,1%,0%,39%,0%,31%,13%,1%,29%,20%,4%,2%,97,31,22,5,42.3,22.6,9.1,0/5,35.1,22.6,4.5,0/5,(25.6 - 44.5),(7.9 - 37.3),(0.0 - 13.2),,37.0,25.9,1/14,0/2,38.2,28.0,1/13,0/1,5.2,12.9,36.4,3/5,2.9,3.0,2.2,2.0,31.7,2/7,0/2,,4.9,0/7,0/2,,38.2,2/7,0/1,,14,7,1,1,0/14,1/7,0/1,0/1,2.9,2.4,3.0,2.0,0,0,0,0,,,,,0,0,0,1,,,,0/1,,,,4.0
RUSH NORTH SHORE CENTER FOR ADVANCED REPRODUCTIVE CARE,SKOKIE,SKOKIE,ILLINOIS,Yes,Yes,Yes,Yes,No,93%,6%,1%,0%,28%,0%,17%,23%,5%,27%,20%,8%,0%,20,22,15,11,30.0,22.7,3/15,3/11,25.0,22.7,1/15,1/11,(6.0 - 44.0),(5.2 - 40.2),,,5/16,5/18,1/13,1/10,5/14,5/15,1/12,1/8,20.0,18.2,2/15,1/11,4.5,3.5,2.8,4.1,3/6,2/5,0/3,0/3,0/6,0/5,0/3,0/3,2/5,2/5,0/1,0/1,3,0,0,0,0/3,,,,4.0,,,,0,1,0,3,,0/1,,0/3,0,0,0,0,,,,,,4.0,,5.3
"REPRODUCTIVE ENDOCRINOLOGY ASSOCIATES, S.C.",SPRINGFIELD,SPRINGFIELD,ILLINOIS,Yes,No,No,No,No,99%,0%,0%,1%,53%,0%,41%,14%,4%,25%,14%,1%,1%,42,21,13,3,16.7,28.6,2/13,0/3,16.7,28.6,2/13,0/3,(5.4 - 27.9),(9.2 - 47.9),,,17.9,6/18,2/12,0/2,18.9,6/17,2/11,0/2,7.1,14.3,1/13,1/3,4.0,3.2,4.6,5.5,1/7,2/6,0/2,,2/7,0/6,0/2,,3/7,1/6,0/2,,3,1,0,1,0/3,0/1,,0/1,4.7,3.0,,1.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
MIDWEST REPRODUCTIVE MEDICINE: CHAMPAIGN/URBANA,URBANA,URBANA,ILLINOIS,Yes,Yes,No,No,No,100%,0%,0%,0%,37%,0%,33%,21%,2%,10%,24%,4%,6%,45,15,8,8,28.9,5/15,2/8,0/8,24.4,4/15,1/8,0/8,(11.9 - 37.0),,,,26.8,4/13,1/7,0/7,30.6,4/13,1/7,0/7,8.9,2/15,1/8,1/8,2.8,2.6,2.4,2.9,2/13,2/5,0/2,,2/13,0/5,0/2,,4/11,2/4,0/1,,4,1,0,0,0/4,0/1,,,2.0,2.0,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
ASSOCIATED FERTILITY & GYNECOLOGY,FORT WAYNE,FORT WAYNE,INDIANA,Yes,No,No,Yes,No,99%,1%,0%,0%,50%,0%,30%,16%,5%,16%,25%,8%,0%,55,5,10,6,23.6,0/5,5/10,0/6,21.8,0/5,3/10,0/6,(10.9 - 32.7),,,,24.5,0/4,3/7,0/5,26.7,0/3,3/6,0/5,10.9,1/5,3/10,1/6,2.8,2.7,3.0,2.0,3/13,,1/5,,0/13,,0/5,,3/12,,1/3,,9,5,2,0,1/9,0/5,0/2,,1.8,1.6,2.0,,0,0,0,1,,,,1/1,0,0,0,0,,,,,,,,3.0
ADVANCED FERTILITY GROUP,INDIANAPOLIS,INDIANAPOLIS,INDIANA,Yes,Yes,Yes,Yes,No,94%,1%,<1%,5%,21%,0%,26%,14%,1%,17%,33%,9%,0%,150,53,36,24,24.7,22.6,8.3,8.3,22.0,18.9,8.3,4.2,(15.4 - 28.6),(8.3 - 29.4),(0.0 - 17.4),(0.0 - 12.2),27.0,22.2,12.5,1/11,27.5,22.2,13.0,1/11,18.7,15.1,33.3,54.2,4.5,4.3,3.0,3.7,27.0,2/12,0/3,1/2,2.7,2/12,0/3,0/2,33.3,4/10,0/3,1/1,37,12,8,6,0.0,1/12,0/8,1/6,3.5,3.5,3.1,4.2,9,0,4,3,4/9,,0/4,0/3,0,0,0,2,,,,1/2,4.4,,5.0,4.2
INDIANA UNIVERSITY HOSPITAL,INDIANAPOLIS,INDIANAPOLIS,INDIANA,Yes,No,No,No,No,95%,5%,0%,0%,19%,0%,37%,29%,0%,0%,31%,4%,0%,23,10,6,3,26.1,2/10,0/6,1/3,26.1,2/10,0/6,1/3,(8.1 - 44.0),,,,6/18,2/8,0/4,1/2,6/18,2/8,0/4,1/2,21.7,2/10,2/6,1/3,4.3,3.9,3.5,6.5,0/6,0/2,,0/1,0/6,0/2,,0/1,0/6,0/2,,0/1,3,1,2,1,1/3,0/1,1/2,0/1,3.3,11.0,4.5,5.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
MIDWEST REPRODUCTIVE MEDICINE,INDIANAPOLIS,INDIANAPOLIS,INDIANA,Yes,Yes,Yes,Yes,Yes,85%,4%,10%,1%,37%,0%,22%,27%,2%,15%,31%,3%,0%,285,107,98,49,45.3,33.6,24.5,6.1,39.6,27.1,19.4,2.0,(34.0 - 45.3),(18.7 - 35.5),(11.6 - 27.2),(0.0 - 6.0),42.5,30.5,23.8,3.3,43.3,32.6,25.7,3.6,6.7,11.2,18.4,38.8,2.9,3.1,2.9,2.8,33.3,19.4,29.2,0/3,6.2,5.6,8.3,0/3,38.1,31.0,5/19,0/1,64,23,18,6,28.1,21.7,6/18,0/6,3.0,2.8,3.1,3.3,3,3,4,18,2/3,2/3,2/4,8/18,5,1,4,7,1/5,1/1,0/4,3/7,3.0,3.0,3.1,3.0
REPRODUCTIVE ENDOCRINOLOGY ASSOCIATES,INDIANAPOLIS,INDIANAPOLIS,INDIANA,Yes,No,No,No,No,46%,31%,23%,0%,31%,0%,15%,23%,0%,8%,31%,23%,0%,9,1,3,0,4/9,1/1,1/3,,3/9,1/1,0/3,,,,,,3/7,1/1,0/3,,3/6,1/1,0/3,,2/9,0/1,0/3,,2.8,4.0,2.3,,2/4,0/1,0/1,,0/4,0/1,0/1,,2/3,0/1,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
CENTER FOR ASSISTED REPRODUCTION,SOUTH BEND,SOUTH BEND,INDIANA,Yes,No,No,No,No,99%,1%,0%,0%,0%,0%,29%,48%,0%,0%,20%,3%,0%,58,8,9,10,29.3,6/8,1/9,1/10,22.4,5/8,1/9,0/10,(11.7 - 33.1),,,,25.0,5/8,1/7,0/9,26.0,5/8,1/6,0/7,10.3,0/8,2/9,1/10,3.3,4.0,3.5,2.7,6/17,3/6,1/1,0/1,1/17,0/6,0/1,0/1,6/13,3/5,1/1,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
REPRODUCTIVE RESOURCE CENTER OF GREATER KANSAS CITY,OVERLAND PARK,OVERLAND PARK,KANSAS,Yes,No,No,Yes,Yes,89%,8%,0%,3%,28%,0%,12%,1%,0%,34%,6%,24%,23%,141,62,49,8,46.8,32.3,18.4,4/8,41.8,29.0,10.2,2/8,(33.7 - 50.0),(17.7 - 40.3),(1.7 - 18.7),,49.6,40.9,16.1,2/8,53.2,42.9,16.7,2/8,15.6,29.0,36.7,0/8,3.0,2.9,3.3,3.9,31.8,20.0,1/9,1/4,10.6,5.0,0/9,0/4,45.8,4/18,1/5,1/2,7,8,2,0,0/7,4/8,0/2,,2.3,2.5,2.5,,6,4,5,13,2/6,2/4,4/5,7/13,1,0,0,1,0/1,,,0/1,2.7,3.3,2.4,2.7
THE CENTER FOR REPRODUCTIVE MEDICINE,WICHITA,WICHITA,KANSAS,Yes,Yes,Yes,Yes,Yes,92%,3%,3%,2%,32%,0%,40%,26%,1%,16%,8%,1%,8%,75,37,19,18,46.7,40.5,6/19,3/18,41.3,29.7,5/19,2/18,(30.2 - 52.5),(15.0 - 44.5),,,43.1,36.7,5/16,2/17,44.9,36.7,5/15,2/13,4.0,18.9,3/19,1/18,2.9,3.4,3.7,3.1,40.0,5/15,1/6,0/3,11.4,1/15,0/6,0/3,45.2,4/11,1/5,0/2,25,3,2,0,32.0,2/3,1/2,,3.4,3.0,3.0,,2,0,0,3,2/2,,,3/3,2,1,0,1,0/2,0/1,,0/1,3.5,3.0,,5.0
FERTILITY & ENDOCRINE ASSOCIATES,LEXINGTON,LEXINGTON,KENTUCKY,Yes,No,No,No,No,99%,1%,0%,0%,19%,0%,29%,43%,2%,12%,7%,5%,2%,75,30,8,5,17.3,13.3,1/8,1/5,16.0,13.3,1/8,1/5,(7.7 - 24.3),(1.2 - 25.5),,,16.2,14.3,1/8,1/5,16.7,15.4,1/8,1/5,1.3,6.7,0/8,0/5,4.1,4.0,3.8,4.6,3/13,0/4,0/1,0/1,2/13,1/4,0/1,0/1,4/12,1/4,0/1,0/1,9,7,2,0,0/9,0/7,1/2,,3.1,3.4,5.0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
UNIVERSITY OF KENTUCKY,LEXINGTON,LEXINGTON,KENTUCKY,Yes,Yes,No,Yes,No,100%,0%,0%,0%,13%,0%,59%,11%,0%,19%,0%,7%,4%,10,2,3,1,0/10,0/2,0/3,0/1,0/10,0/2,0/3,0/1,,,,,0/9,,0/1,,0/8,,0/1,,1/10,2/2,2/3,1/1,3.3,,6.0,,,,,,,,,,,,,,6,1,2,0,0/6,0/1,0/2,,3.5,3.0,1.5,,0,0,0,1,,,,0/1,0,0,0,0,,,,,,,,1.0
THE CENTER FOR FERTILITY AND ADVANCED REPRODUCTION,METAIRIE,METAIRIE,LOUISIANA,Yes,Yes,No,No,No,85%,9%,6%,0%,27%,0%,30%,14%,0%,26%,16%,14%,0%,12,8,3,10,2/12,0/8,1/3,0/10,2/12,0/8,0/3,0/10,,,,,2/12,0/8,0/3,0/10,2/10,0/5,0/2,0/9,0/12,0/8,0/3,0/10,3.0,4.2,4.5,2.8,1/2,,0/1,,0/2,,0/1,,1/2,,,,9,5,0,0,1/9,0/5,,,2.7,2.0,,,0,0,0,0,,,,,0,0,1,0,,,0/1,,,,2.0,
FERTILITY AND LASER CENTER,METAIRIE,METAIRIE,LOUISIANA,Yes,Yes,Yes,Yes,No,78%,3%,1%,18%,20%,0%,26%,19%,<1%,15%,33%,6%,<1%,79,37,22,10,26.6,21.6,9.1,1/10,20.3,21.6,9.1,0/10,(11.4 - 29.1),(8.4 - 34.9),(0.0 - 21.1),,23.9,25.8,2/17,0/8,24.6,27.6,2/15,0/6,15.2,16.2,22.7,2/10,5.1,5.2,4.7,4.2,28.6,3/8,1/2,0/1,23.8,2/8,0/2,0/1,8/16,5/8,1/2,,7,1,1,0,1/7,0/1,0/1,,3.7,4.0,3.0,,2,0,0,3,0/2,,,0/3,0,1,0,1,,0/1,,0/1,5.5,3.0,,5.5
FERTILITY INSTITUTE OF NEW ORLEANS,NEW ORLEANS,NEW ORLEANS,LOUISIANA,Yes,Yes,No,Yes,Yes,95%,4%,1%,0%,21%,0%,22%,17%,0%,43%,1%,13%,4%,89,34,21,9,23.6,20.6,0.0,1/9,21.3,20.6,0.0,1/9,(12.8 - 29.9),(7.0 - 34.2),,,25.7,25.0,0/14,1/6,28.4,26.9,0/13,1/6,16.9,17.6,,3/9,4.1,3.5,3.9,2.0,19.0,0/7,,1/1,14.3,2/7,,0/1,6/19,2/7,,1/1,4,4,2,2,0/4,0/4,0/2,0/2,3.3,2.0,2.5,1.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
TULANE UNIVERSITY HOSPITAL AND CLINIC,NEW ORLEANS,NEW ORLEANS,LOUISIANA,Yes,Yes,No,No,No,86%,14%,0%,0%,21%,0%,31%,0%,0%,31%,38%,0%,0%,6,1,3,4,1/6,1/1,1/3,1/4,1/6,1/1,1/3,1/4,,,,,1/6,1/1,1/3,1/3,1/6,1/1,1/3,1/3,0/6,0/1,0/3,1/4,4.2,6.0,5.0,3.3,1/1,0/1,1/1,0/1,0/1,1/1,0/1,0/1,0/1,1/1,1/1,0/1,1,0,0,0,0/1,,,,2.0,,,,0,0,0,0,,,,,1,0,0,0,0/1,,,,3.0,,,
CENTER FOR FERTILITY & REPRODUCTIVE HEALTH,SHREVEPORT,SHREVEPORT,LOUISIANA,Yes,No,No,Yes,No,99%,0%,0%,1%,39%,0%,39%,10%,2%,19%,30%,0%,0%,43,17,6,5,30.2,7/17,1/6,2/5,25.6,4/17,0/6,2/5,(12.5 - 38.6),,,,28.2,4/16,0/3,2/3,28.2,4/16,0/3,2/3,9.3,1/17,3/6,2/5,3.3,4.2,3.7,4.7,4/13,2/7,0/1,1/2,4/13,0/7,0/1,0/2,7/11,0/4,,1/2,2,4,0,0,0/2,0/4,,,4.5,2.5,,,1,0,0,0,0/1,,,,0,0,2,0,,,0/2,,4.0,,3.5,
BRIGHAM & WOMEN'S HOSPITAL CENTER FOR ASSISTED REPRODUCTION,BOSTON,BOSTON,MASSACHUSETTS,Yes,Yes,No,Yes,No,95%,4%,<1%,0%,19%,0%,20%,15%,3%,25%,8%,16%,13%,341,168,180,95,34.9,31.0,23.3,14.7,27.9,22.6,18.9,7.4,(23.1 - 32.6),(16.3 - 28.9),(13.2 - 24.6),(2.1 - 12.6),28.5,24.2,20.0,7.8,30.3,25.9,21.0,8.1,2.3,6.5,5.6,5.3,3.8,4.0,4.3,4.6,34.5,17.3,11.9,2/14,10.9,7.7,9.5,0/14,44.2,26.3,20.6,2/7,31,15,6,4,19.4,6/15,0/6,1/4,3.6,3.0,4.0,3.3,8,5,2,6,3/8,0/5,2/2,1/6,6,0,0,1,0/6,,,0/1,4.5,4.2,5.0,5.4
FAULKNER CENTER FOR REPRODUCTIVE MEDICINE,BOSTON,BOSTON,MASSACHUSETTS,Yes,Yes,Yes,Yes,Yes,99%,0%,0%,1%,27%,4%,14%,22%,5%,15%,38%,3%,3%,61,20,18,31,8.2,20.0,2/18,9.7,4.9,10.0,1/18,3.2,(0.0 - 10.3),(0.0 - 23.1),,(0.0 - 9.4),6.3,2/12,1/12,1/18,6.7,2/11,1/12,1/17,21.3,40.0,6/18,41.9,2.5,2.8,2.5,2.1,0/5,2/4,1/2,0/3,0/5,0/4,0/2,0/3,0/3,0/2,1/1,0/1,4,3,1,3,0/4,0/3,0/1,0/3,2.3,2.0,1.0,2.3,1,2,6,21,0/1,2/2,0/6,14.3,0,0,0,0,,,,,3.0,3.5,2.3,3.1
MASSACHUSETTS GENERAL HOSPITAL VINCENT IVF UNIT,BOSTON,BOSTON,MASSACHUSETTS,Yes,Yes,Yes,Yes,No,99%,<1%,<1%,<1%,36%,0%,22%,13%,3%,37%,8%,1%,16%,100,47,65,21,40.0,34.0,18.5,4.8,34.0,19.1,18.5,4.8,(24.7 - 43.3),(7.9 - 30.4),(9.0 - 27.9),(0.0 - 13.9),37.8,21.4,24.0,1/17,39.5,23.1,26.1,1/14,10.0,10.6,23.1,19.0,2.9,3.1,3.6,2.1,25.0,4/16,3/12,0/1,10.0,1/16,2/12,0/1,35.3,2/9,4/12,0/1,12,3,3,1,2/12,0/3,2/3,1/1,3.1,2.0,2.7,5.0,0,0,0,1,,,,0/1,0,1,0,1,,0/1,,0/1,,1.0,,3.0
BOSTON IVF,BROOKLINE,BROOKLINE,MASSACHUSETTS,Yes,Yes,Yes,Yes,Yes,86%,14%,0%,0%,25%,<1%,22%,10%,4%,24%,15%,15%,10%,837,491,500,371,31.5,29.7,19.4,12.4,27.7,24.6,15.4,5.9,(24.7 - 30.8),(20.8 - 28.5),(12.2 - 18.6),(3.5 - 8.3),29.8,27.5,18.5,7.1,32.0,29.5,20.3,7.7,6.9,10.4,16.8,16.7,3.2,3.8,3.8,4.4,34.1,21.9,24.7,13.0,12.9,11.6,3.1,0.0,46.1,33.9,26.0,4.5,121,68,28,22,24.0,29.4,25.0,13.6,3.0,2.9,2.6,3.2,20,16,38,60,55.0,6/16,10.5,26.7,10,3,9,18,0/10,0/3,0/9,2/18,3.0,3.3,2.9,2.9
NEW ENGLAND FERTILITY AND ENDOCRINOLOGY ASSOCIATES,BROOKLINE,BROOKLINE,MASSACHUSETTS,Yes,No,Yes,No,No,100%,0%,0%,0%,0%,94%,94%,6%,0%,0%,0%,0%,0%,4,7,5,1,0/4,1/7,0/5,0/1,0/4,1/7,0/5,0/1,,,,,0/4,1/7,0/5,0/1,0/4,1/6,0/3,,0/4,0/7,0/5,0/1,1.0,1.2,1.0,,,0/1,,,,0/1,,,,0/1,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
"FERTILITY CENTER OF NEW ENGLAND, INC.",READING,READING,MASSACHUSETTS,Yes,Yes,No,Yes,No,98%,<1%,0%,2%,28%,1%,23%,17%,7%,24%,20%,4%,5%,317,228,232,194,27.4,19.7,13.8,5.2,23.3,16.7,10.3,3.1,(18.7 - 28.0),(11.8 - 21.5),(6.4 - 14.3),(0.7 - 5.5),24.3,18.2,11.3,3.6,26.7,20.2,13.1,4.7,4.1,8.3,8.6,14.4,3.3,3.2,3.0,2.7,23.0,28.9,21.9,0/10,9.2,2.2,3.1,0/10,33.8,31.6,25.0,0/6,76,29,20,11,22.4,17.2,10.0,0/11,3.6,3.4,3.7,2.5,4,5,12,45,0/4,1/5,2/12,46.7,0,0,2,4,,,1/2,0/4,2.8,3.2,3.3,2.9
BAYSTATE IVF,SPRINGFIELD,SPRINGFIELD,MASSACHUSETTS,Yes,Yes,No,No,No,99%,0%,<1%,<1%,42%,<1%,41%,16%,<1%,19%,10%,5%,9%,142,68,74,26,34.5,30.9,20.3,23.1,33.1,23.5,17.6,15.4,(25.4 - 40.8),(13.4 - 33.6),(8.9 - 26.2),(1.5 - 29.3),36.4,29.1,19.1,4/18,41.2,32.0,22.0,4/17,9.2,19.1,8.1,30.8,3.0,3.3,3.5,4.2,30.6,23.8,5/15,3/6,12.2,23.8,0/15,0/6,38.3,6/16,5/13,2/4,55,21,4,6,23.6,19.0,0/4,0/6,3.6,3.2,3.3,4.2,0,0,0,0,,,,,0,0,0,0,,,,,,,,
BOSTON REGIONAL CENTER FOR REPRODUCTIVE MEDICINE,STONEHAM,STONEHAM,MASSACHUSETTS,Yes,Yes,Yes,Yes,No,95%,2%,1%,2%,18%,8%,28%,12%,3%,22%,11%,9%,15%,214,116,74,63,25.2,24.1,18.9,9.5,21.5,19.8,14.9,3.2,(16.0 - 27.0),(12.6 - 27.1),(6.8 - 23.0),(0.0 - 7.5),22.8,21.7,16.2,3.3,25.1,23.5,18.3,3.9,5.6,8.6,8.1,4.8,3.5,3.2,3.4,3.5,33.3,21.4,4/14,0/6,9.3,0.0,1/14,0/6,34.8,13.0,3/11,0/2,55,19,8,9,21.8,1/19,0/8,1/9,4.3,4.2,5.0,4.0,1,1,3,2,0/1,0/1,1/3,0/2,0,0,1,1,,,0/1,0/1,6.0,3.0,3.5,4.3
GBMC FERTILITY CENTER,BALTIMORE,BALTIMORE,MARYLAND,Yes,No,No,Yes,No,95%,<1%,3%,2%,38%,0%,27%,23%,<1%,35%,1%,3%,10%,181,107,119,52,37.0,24.3,20.2,15.4,29.8,17.8,15.1,9.6,(23.2 - 36.5),(10.5 - 25.0),(8.7 - 21.6),(1.6 - 17.6),32.3,20.0,18.0,12.2,34.6,21.3,18.4,12.8,7.7,11.2,16.0,21.2,3.6,4.1,4.1,4.6,28.4,11.5,20.8,0/8,9.0,15.4,4.2,0/8,40.7,6/19,4/18,0/5,94,29,33,9,19.1,13.8,12.1,0/9,3.2,2.9,3.0,2.8,2,1,3,5,0/2,1/1,2/3,2/5,0,0,1,2,,,0/1,0/2,4.5,5.0,4.8,3.4
HELIX CENTER FOR ART,BALTIMORE,BALTIMORE,MARYLAND,Yes,Yes,No,Yes,No,99%,0%,1%,0%,35%,0%,21%,11%,1%,23%,9%,35%,0%,46,10,14,7,23.9,3/10,3/14,0/7,23.9,1/10,2/14,0/7,(11.6 - 36.2),,,,30.6,1/7,2/12,0/5,30.6,1/7,2/11,0/4,21.7,3/10,2/14,2/7,4.2,5.0,3.8,2.8,3/11,0/3,1/3,,5/11,0/3,0/3,,7/11,0/1,0/2,,5,3,2,2,2/5,1/3,0/2,1/2,4.0,5.0,2.0,3.0,0,0,1,2,,,0/1,1/2,0,0,0,0,,,,,,,3.0,6.0
THE JOHNS HOPKINS MEDICAL INSTITUTE,BALTIMORE,BALTIMORE,MARYLAND,Yes,Yes,No,Yes,Yes,97%,3%,0%,0%,16%,0%,42%,27%,1%,15%,1%,10%,4%,55,26,38,30,25.5,0.0,21.1,13.3,16.4,0.0,18.4,10.0,(6.6 - 26.1),,(6.1 - 30.7),(0.0 - 20.7),20.5,0/17,20.0,14.3,21.4,0/17,21.2,14.3,20.0,,7.9,30.0,3.9,3.8,4.1,3.8,5/14,,2/8,0/4,3/14,,2/8,0/4,5/9,,3/7,0/3,8,3,1,3,0/8,0/3,0/1,1/3,4.0,3.3,3.0,4.7,1,0,2,6,1/1,,1/2,1/6,0,0,0,0,,,,,3.0,,3.5,3.7
